lyrics,artist
"We be all night, love, love",beyonce
"We be all night, love, love",beyonce
"I'm never tired, never tired",beyonce
"I been sippin', that's the only thing",beyonce
"That's keepin' me on fire, we on fire",beyonce
Didn't mean to spill that liquor all on my attire,beyonce
"I've been drinkin', watermelon",beyonce
I want your body right here,beyonce
"Daddy, I want you, right now",beyonce
Can't keep your eyes off my fatty,beyonce
"Daddy, I want you",beyonce
"We be all night, love, love",beyonce
"We be all night, love, love",beyonce
<|endoftext|>,beyonce
What happened at the New Wil'ins?,beyonce
"Bitch, I'm back by popular demand",beyonce
Y'all haters corny with that Illuminati mess,beyonce
"Paparazzi, catch my fly and my cocky fresh",beyonce
I'm so reckless when I rock my Givenchy dress (Stylin'),beyonce
I'm so possessive so I rock his Roc necklaces,beyonce
"My daddy Alabama, momma Louisiana",beyonce
"You mix that negro with that Creole, make a Texas bama",beyonce
I like my baby heir with baby hair and afros,beyonce
I like my negro nose with Jackson Five nostrils,beyonce
"Earned all this money, but they never take the country ou",beyonce
"I got hot sauce in my bag, swag",beyonce
"Oh yeah, baby, oh yeah I, oh, oh, yes, I like that",beyonce
"I did not come to play with you hoes, haha",beyonce
"I came to slay, bitch",beyonce
"I like cornbreads and collard greens, bitch",beyonce
"Oh, yes, you besta believe it",beyonce
Y'all haters corny with that lluminati mess,beyonce
"Paparazzi, catch my fly and my cocky fresh",beyonce
I'm so reckless when I rock my Givenchy dress (Stylin'),beyonce
I'm so possessive so I rock his Roc necklaces,beyonce
"My daddy Alabama, momma Louisiana",beyonce
"You mix that negro with that Creole, make a Texas bama",beyonce
I like my baby heir with baby hair and afros,beyonce
I like my negro nose with Jackson Five nostrils,beyonce
Earned all this money but they never take the country out,beyonce
"I got hot sauce in my bag, swag",beyonce
"I see it, I want it, I stunt; yellow bone-it",beyonce
"I dream it, I work hard, I grind 'til I own it",beyonce
"I twirl on them haters, albino alligators",beyonce
"El Camino with the seat low, sippin' Cuervo with no chase",beyonce
"Sometimes I go off (I go off), I go hard (I go hard)",beyonce
"Get what's mine (Take what's mine), I'm a star (I'm a sta",beyonce
"'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay",beyonce
"All day (Okay), I slay (Okay), I slay (Okay), I slay (Oka",beyonce
"We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I",beyonce
"I slay (Okay), okay (Okay), I slay (Okay), okay, okay, ok",beyonce
"Okay, okay, ladies, now let's get in formation, 'cause I",beyonce
"Okay, ladies, now let's get in formation, 'cause I slay",beyonce
"Prove to me you got some coordination, 'cause I slay",beyonce
"Slay trick, or you get eliminated",beyonce
"When he fuck me good, I take his ass to Red Lobster, 'cau",beyonce
"When he fuck me good, I take his ass to Red Lobster, we g",beyonce
"If he hit it right, I might take him on a flight on my ch",beyonce
"Drop him off at the mall, let him buy some J's, let him s",beyonce
"I might get your song played on the radio station, 'cause",beyonce
"I might get your song played on the radio station, 'cause",beyonce
"You just might be a black Bill Gates in the making, 'caus",beyonce
I just might be a black Bill Gates in the making,beyonce
"I see it, I want it, I stunt; yellow bone-it",beyonce
"I dream it, I work hard, I grind 'til I own it",beyonce
"I twirl on them haters, albino alligators",beyonce
"El Camino with the seat low, sippin' Cuervo with no chase",beyonce
"Sometimes I go off (I go off), I go hard (I go hard)",beyonce
"Take what's mine (Take what's mine), I'm a star (I'm a st",beyonce
"'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay",beyonce
"I slay (Okay), I slay (Okay), I slay (Okay), I slay (Okay",beyonce
"We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I",beyonce
"I slay (Okay), okay (Okay), I slay (Okay), okay, okay, ok",beyonce
"Okay, okay, ladies, now let's get in formation, I slay",beyonce
"Okay, ladies, now let's get in formation, 'cause I slay",beyonce
"Prove to me you got some coordination, 'cause I slay",beyonce
"Slay trick, or you get eliminated, I slay",beyonce
"Okay, ladies, now let's get in formation, I slay",beyonce
"Okay, ladies, now let's get in formation",beyonce
You know you that bitch when you cause all this conversat,beyonce
"Always stay gracious, best revenge is your paper",beyonce
"Girl, I hear some thunder",beyonce
"Golly, look at that water, boy, oh Lord",beyonce
<|endoftext|>,beyonce
"Let me hear you say, ""Hey, Ms. Carter!"" (Hey, Ms. Carter!",beyonce
"Say, ""Hey, Ms. Carter!"" (Hey, Ms. Carter!)",beyonce
Give me some!,beyonce
See me up in the club with fifty-'leven girls,beyonce
"Posted in the back, diamond fangs in my grill",beyonce
Brooklyn brim with my eyes sitting low,beyonce
Every boy in here with me got that smoke,beyonce
Every girl in here got to look me up and down,beyonce
"All on Instagram, cake by the pound",beyonce
Circulate the image every time I come around,beyonce
"G's up, tell me how I'm looking, babe",beyonce
"Boy, this all for you just walk my way",beyonce
"Just tell me how it's looking, babe",beyonce
"Just tell me how it's looking, babe",beyonce
"(How it's looking, babe?)",beyonce
"I do this all for you, baby, just take aim",beyonce
And tell me how it's looking babe,beyonce
"(How it's looking, babe?)",beyonce
"Tell me how it's looking babe, looking babe",beyonce
"Drop the bass, mane, the bass get lower",beyonce
"Radio say ""Speed it up"", I just go slower",beyonce
"High like treble, pumping on the mids",beyonce
Ya man ain't ever seen a booty like this,beyonce
And why you think ya keep my name rolling off the tongue,beyonce
"'Cause when he wanna smash, I'll just write another one",beyonce
I sneezed on the beat and the beat got sicker,beyonce
Yoncé all on his mouth like liquor,beyonce
Yoncé all on his mouth like liquor,beyonce
Yoncé all on his mouth like liquor,beyonce
Yoncé all on his mouth like liquor,beyonce
"Like, like liquor, like, like, like liquor",beyonce
Yoncé all on his mouth like liquor,beyonce
Yoncé all on his mouth like liquor,beyonce
Yoncé all on his mouth like liquor,beyonce
"Like, like liquor, like, like, like liquor",beyonce
"Beyoncé, Beyoncé?",beyonce
Are you happy to be in Paris? Are you happy to be in Pari,beyonce
"Beyoncé, Beyoncé? Beyoncé!",beyonce
"Driver, roll up the partition, please",beyonce
"Driver, roll up the partition, please",beyonce
I don't need you seeing 'Yoncé on her knees,beyonce
Took forty-five minutes to get all dressed up,beyonce
We ain't even gonna make it to this club,beyonce
"Now my mascara running, red lipstick smudged",beyonce
"Oh, he so horny, yeah, he want to fuck",beyonce
"He popped all my buttons, and he ripped my blouse",beyonce
He Monica Lewinsky'd all on my gown,beyonce
"Oh, there, daddy, daddy didn’t bring the towel",beyonce
"Oh, baby, baby, we better slow it down",beyonce
Took forty-five minutes to get all dressed up,beyonce
We ain't even gon' make it to this club,beyonce
Take all of me,beyonce
"I just wanna be the girl you like, girl you like",beyonce
"The kind of girl you like, girl you like",beyonce
Take all of me,beyonce
"I just wanna be the girl you like, girl you like",beyonce
The kinda girl you like is right here with me,beyonce
"(Right here with me, right here with me, right here with",beyonce
"Driver, roll up the partition fast (Hey)",beyonce
"Driver, roll up the partition fast",beyonce
Over there I swear I saw them cameras flash,beyonce
Handprints and footprints on my glass,beyonce
Handprints and good grips all on my ass,beyonce
Private show with the music blasting,beyonce
He like to call me Peaches when we get this nasty,beyonce
"Red wine drip, we’ll talk that trash",beyonce
"Chauffeur eavesdropping, trying not to crash",beyonce
"Oh, there, daddy, daddy, now you ripped my fur",beyonce
"Oh, baby, baby, be sweating out my hair",beyonce
Took forty-five minutes to get all dressed up,beyonce
We ain't even gon' make it to this club,beyonce
Take all of me,beyonce
"I just wanna be the girl you like, girl you like",beyonce
"The kind of girl you like, girl you like",beyonce
Take all of me,beyonce
"I just wanna be the girl you like, girl you like",beyonce
The kinda girl you like is right here with me,beyonce
"(Right here with me, right here with me, right here with",beyonce
Hello!,beyonce
Est-ce que tu aimes le sexe ?,beyonce
"Le sexe, je veux dire : l'activité physique, le coït. Tu",beyonce
Tu ne t'intéresses pas au sexe ?,beyonce
Les hommes pensent que les féministes détestent le sexe m,beyonce
Take all of me,beyonce
"I just wanna be the girl you like, girl you like",beyonce
"The kind of girl you like, girl you like",beyonce
Take all of me,beyonce
"I just wanna be the girl you like, girl you like",beyonce
The kinda girl you like is right here with me,beyonce
"(Right here with me, right here with me, right here with",beyonce
Hello!,beyonce
Bzz-bzz-bzz-bzz-bzz-bzzwop,beyonce
<|endoftext|>,beyonce
I've been watching for the signs,beyonce
"Took a trip to clear my mind, oh",beyonce
Now I'm even more lost,beyonce
"And you're still so fine, oh my, oh my",beyonce
Been having conversations about breakups and separations,beyonce
I'm not feeling like myself since the baby,beyonce
Are we gonna even make it? Oh,beyonce
"'Cause if we are, we're taking this a little too far",beyonce
"If we are, we're taking this a little too far",beyonce
"Baby, if we are, we're taking this a little too far",beyonce
"Me being wherever I'm at, worried about wherever you are",beyonce
We're taking this a little too far,beyonce
We're taking this a little too far,beyonce
We're taking this a little too far,beyonce
Know you wanna roll with a good girl,beyonce
"Do it big, do it all for a good girl",beyonce
"One time, this is a song for the good girl",beyonce
"Don’t sleep when you know you got it good, girl",beyonce
"One time, this is a song for the good girl",beyonce
"Wanna roll, wanna roll with a good girl?",beyonce
"One time, this is a song for the good girl",beyonce
"And I still keep it hood, still treat you like I should",beyonce
Wassup?,beyonce
"On my mind, up past my bedtime, no rest at the kingdom",beyonce
"Alone in my place, my heart is away, all that I can think",beyonce
"We should get married, we should get married",beyonce
Let's stop holding back on this and let's get carried awa,beyonce
Stop making a big deal out of the little things,beyonce
'Cause I got big deals and I got little things,beyonce
Got everything I'm asking for but you,beyonce
Stop making a big deal out of the little things,beyonce
Let's get carried away,beyonce
"Come right now, you know where I stay",beyonce
"I just wanna say, you're mine, you're mine",beyonce
"I just wanna say, you're mine, you're mine",beyonce
"Fuck what you heard, you're mine, you're mine",beyonce
All I'm really asking for is you,beyonce
"You're mine, you're mine",beyonce
"I just wanna say, you're mine, you're mine",beyonce
"Fuck what you heard, you're mine, you're mine",beyonce
As long as you know who you belong to,beyonce
Know you wanna roll with a good girl,beyonce
Do it big do it all for a good girl,beyonce
"One time, this is a song for the good girl",beyonce
"Don’t sleep when you know you got it good, girl",beyonce
"One time, this is a song for the good girl",beyonce
"Wanna roll, wanna roll with a good girl?",beyonce
"One time, this is a song for the good girl",beyonce
"And I still keep it hood, still treat you like I should",beyonce
Wassup?,beyonce
"From eight until late, I think ‘bout you",beyonce
"You own my nights, I don’t know what to do, do",beyonce
"I can't get no rest, can't get no sleep",beyonce
This whole thing got way too deep and we should,beyonce
Stop making a big deal out of the little things,beyonce
'Cause I got big deals and I got little things,beyonce
Got everything I'm asking for but you,beyonce
Stop making a big deal out of the little things,beyonce
Let's get carried away,beyonce
"Come right now, you know where I stay",beyonce
"I just wanna say, you're mine, you're mine",beyonce
"I just wanna say, you're mine, you're mine",beyonce
"Fuck what you heard, you're mine, you're mine",beyonce
All I'm really asking for is you,beyonce
"You're mine, you're mine",beyonce
"I just wanna say, you're mine, you're mine",beyonce
"Fuck what you heard, you're mine, you're mine",beyonce
As long as you know who you belong to,beyonce
Know you wanna roll with a good girl,beyonce
Do it big do it all for a good girl,beyonce
"One time, this is a song for the good girl",beyonce
"Don’t sleep when you know you got it good, girl",beyonce
"One time, this is a song for the good girl",beyonce
"Wanna roll, wanna roll with a good girl?",beyonce
"One time, this is a song for the good girl",beyonce
"And I still keep it hood, still treat you like I should",beyonce
Wassup...,beyonce
(Pull up on you) I gotta pull up on you,beyonce
You gon' make me have to pull up on you,beyonce
"Don’t go ghost on me, I'ma go Thriller on you, I'ma just",beyonce
I'ma let my hands do the talking when I see you baby girl,beyonce
"I miss feeling on you,(Pull up on you) I miss everything",beyonce
And that's everything about you that's just how I feel ab,beyonce
I been about you and I’m still about you but,beyonce
We ain't finished talking (Pull up on you),beyonce
I told you you don’t need to worry about them bitches,beyonce
All them fives need to listen when the ten is talking (Pu,beyonce
'Cause they don’t wanna see you happier than them,beyonce
And girl you swear they all ya friends and that's been a,beyonce
"You the one they hate, just come with that",beyonce
I know you think it's funny that your ex is not a running,beyonce
But that nigga came running back,beyonce
(Pull up on you) And you tell me that you’re done with th,beyonce
And I believe it's true,beyonce
As long as you know who you belong to,beyonce
All I’m really asking for is you,beyonce
Long as you know who you belong to,beyonce
<|endoftext|>,beyonce
"Hold up, they don't love you like I love you",beyonce
"Slow down, they don't love you like I love you",beyonce
"Back up, they don't love you like I love you",beyonce
"Step down, they don't love you like I love you",beyonce
Can't you see there's no other man above you?,beyonce
What a wicked way to treat the girl that loves you,beyonce
"Hold up, they don't love you like I love you",beyonce
"Oh, down, they don't love you like I love you",beyonce
Something don't feel right because it ain't right,beyonce
Especially comin' up after midnight,beyonce
"I smell your secrets, and I'm not too perfect",beyonce
To ever feel this worthless,beyonce
How did it come down to this? Scrolling through your call,beyonce
"I don't wanna lose my pride, but I'ma fuck me up a bitch",beyonce
"Know that I kept it sexy, you know I kept it fun",beyonce
"There's something that I'm missing, maybe my head for one",beyonce
"What's worst, lookin' jealous or crazy? Jealous or crazy?",beyonce
"Or like being walked all over lately, walked all over lat",beyonce
I'd rather be crazy,beyonce
"Hold up, they don't love you like I love you",beyonce
"Slow down, they don't love you like I love you",beyonce
"Back up, they don't love you like I love you",beyonce
"Step down, they don't love you like I love you",beyonce
Can't you see there's no other man above you?,beyonce
What a wicked way to treat the girl that loves you,beyonce
"Hold up, they don't love you like I love you",beyonce
"Slow down, they don't love you like I love you",beyonce
Let's imagine for a moment that you never made a name for,beyonce
"Or mastered wealth, they had you labeled as a king",beyonce
"Never made it out the cage, still out there movin' in the",beyonce
Never had the baddest woman in the game up in your sheets,beyonce
Would they be down to ride? No,beyonce
"They used to hide from you, lie to you",beyonce
But y'all know we were made for each other,beyonce
So I find you and hold you down,beyonce
Me sing se,beyonce
"Hold up, they don't love you like I love you",beyonce
"Slow down, they don't love you like I love you",beyonce
"Back up, they don't love you like I love you",beyonce
"Step down, they don't love you like I love you",beyonce
Can't you see there's no other man above you?,beyonce
What a wicked way to treat the girl that loves you,beyonce
"Hold up, they don't love you like I love you",beyonce
"Slow down, they don't love you like I love you",beyonce
"Hey, this such a shame",beyonce
You let this good love go to waste,beyonce
"I always keep the top tier, 5 star",beyonce
Backseat lovin' in the car,beyonce
"Like make that wood, like make that wood",beyonce
Holly like a boulevard,beyonce
"What's worse, lookin' jealous or crazy? Jealous and crazy",beyonce
"Or like being walked all over lately, walked all over lat",beyonce
I'd rather be crazy,beyonce
"Hold up, they don't love you like I love you",beyonce
"Slow down, they don't love you like I love you",beyonce
"Back up, they don't love you like I love you",beyonce
"Step down, they don't love you like I love you",beyonce
Can't you see there's no other man above you?,beyonce
What a wicked way to treat the girl that loves you,beyonce
"Hold up, they don't love you like I love you",beyonce
"Oh, down, they don't love you like I love you",beyonce
I hop up out my bed and get my swag on,beyonce
"I look in the mirror, say, ""What's up?""",beyonce
"What's up, what's up, what's up",beyonce
I hop up out my bed and get my swag on,beyonce
"I look in the mirror, say, ""What's up?""",beyonce
"What's up, what's up, what's up",beyonce
<|endoftext|>,beyonce
"Sorry, I ain't sorry",beyonce
"Sorry, I ain't sorry",beyonce
"I ain't sorry, nigga, nah",beyonce
"Sorry, I ain't sorry",beyonce
"Sorry, I ain't sorry",beyonce
I ain't sorry,beyonce
He trying to roll me up (I ain't sorry),beyonce
I ain't picking up (I ain't sorry),beyonce
Headed to the club (I ain't sorry),beyonce
I ain't thinking 'bout you (I ain't sorry),beyonce
Me and my ladies sip my D'USSÉ cups,beyonce
"I don't give a fuck, chucking my deuces up",beyonce
"Suck on my balls, pause, I had enough (Sorry, I ain't sor",beyonce
I ain't thinking 'bout you,beyonce
I ain't thinking 'bout,beyonce
"Middle fingers up, put them hands high",beyonce
"Wave it in his face, tell him, boy, bye (Sorry, I ain't s",beyonce
"Tell him, boy, bye, boy, bye, middle fingers up",beyonce
I ain't thinking 'bout you,beyonce
"Sorry, I ain't sorry (You)",beyonce
"Sorry, I ain't sorry (You)",beyonce
"I ain't sorry, nigga, nah",beyonce
I ain't thinking 'bout you,beyonce
"Sorry, I ain't sorry",beyonce
"Sorry, I ain't sorry, I ain't sorry",beyonce
"No, no, hell nah",beyonce
Now you wanna say you're sorry,beyonce
Now you wanna call me crying,beyonce
Now you gotta see me wilding,beyonce
Now I'm the one that's lying,beyonce
And I don't feel bad about it,beyonce
It's exactly what you get,beyonce
Stop interrupting my grinding,beyonce
(You interrupting my grinding),beyonce
I ain't thinking 'bout you,beyonce
"Sorry, I ain't sorry",beyonce
I ain't thinking 'bout you,beyonce
I ain't thinking 'bout you,beyonce
"Sorry, I ain't sorry",beyonce
I ain't thinking 'bout you,beyonce
I ain't thinking 'bout you,beyonce
"Middle fingers up, put them hands high",beyonce
"Wave it in his face, tell him, boy, bye (Bye) (Sorry, I a",beyonce
"Tell him, boy, bye (Bye), boy, bye (Bye)",beyonce
"Middle fingers up, I ain't thinking 'bout you",beyonce
"Sorry, I ain't sorry",beyonce
"Sorry, I ain't sorry",beyonce
"I ain't sorry, nigga, nah",beyonce
"Sorry, I ain't sorry",beyonce
"Sorry, I ain't sorry",beyonce
I ain't sorry,beyonce
"No, no, hell nah",beyonce
"Looking at my watch, he shoulda been home",beyonce
"Today, I regret the night I put that ring on",beyonce
He always got them fucking excuses,beyonce
I pray to the Lord you reveal what his truth is,beyonce
I left a note in the hallway,beyonce
"By the time you read it, I'll be far away",beyonce
I'm far away,beyonce
But I ain't fucking with nobody,beyonce
Let's have a toast to the good life,beyonce
Suicide before you see this tear fall down my eyes,beyonce
"Me and my baby, we gon' be alright",beyonce
We gon' live a good life,beyonce
Big homie better grow up,beyonce
Me and my whoadies 'bout to stroll up,beyonce
I see them boppers in the corner,beyonce
They sneaking out the back door,beyonce
He only want me when I'm not there,beyonce
He better call Becky with the good hair,beyonce
He better call Becky with the good hair,beyonce
<|endoftext|>,beyonce
If I were a boy,beyonce
Even just for a day,beyonce
I'd roll out of bed in the morning,beyonce
And throw on what I wanted then go,beyonce
Drink beer with the guys,beyonce
And chase after girls,beyonce
I'd kick it with who I wanted,beyonce
And I'd never get confronted for it,beyonce
'Cause they'd stick up for me,beyonce
If I were a boy,beyonce
I think I could understand,beyonce
How it feels to love a girl,beyonce
I swear I'd be a better man,beyonce
I'd listen to her,beyonce
'Cause I know how it hurts,beyonce
When you lose the one you wanted,beyonce
'Cause he's taken you for granted,beyonce
And everything you had got destroyed,beyonce
If I were a boy,beyonce
I would turn off my phone,beyonce
Tell everyone it's broken,beyonce
So they'd think that I was sleepin' alone,beyonce
I'd put myself first,beyonce
And make the rules as I go,beyonce
'Cause I'd know that she'd be faithful,beyonce
Waitin' for me to come home,beyonce
To come home,beyonce
If I were a boy,beyonce
I think I could understand,beyonce
How it feels to love a girl,beyonce
I swear I'd be a better man,beyonce
I'd listen to her,beyonce
'Cause I know how it hurts,beyonce
When you lose the one you wanted (Wanted),beyonce
'Cause he's taken you for granted (Granted),beyonce
And everything you had got destroyed,beyonce
It's a little too late for you to come back,beyonce
"Say, it's just a mistake",beyonce
Think I'd forgive you like that,beyonce
If you thought I would wait for you,beyonce
You thought wrong,beyonce
But you're just a boy,beyonce
You don't understand,beyonce
"(Yeah, you don't understand, oh)",beyonce
How it feels to love a girl,beyonce
"Someday, you'll wish you were a better man",beyonce
You don't listen to her,beyonce
You don't care how it hurts,beyonce
Until you lose the one you wanted,beyonce
'Cause you've taken her for granted,beyonce
And everything you have got destroyed,beyonce
But you're just a boy...,beyonce
<|endoftext|>,beyonce
You can taste the dishonesty,beyonce
It's all over your breath as you pass it off so cavalier,beyonce
But even that's a test,beyonce
Constantly aware of it all,beyonce
My lonely ear pressed against the walls of your world,beyonce
Pray to catch you whispering,beyonce
I pray you catch me listening,beyonce
I'm prayin' to catch you whispering,beyonce
I pray you catch me,beyonce
I'm prayin' to catch you whispering,beyonce
I pray you catch me listening,beyonce
I pray you catch me,beyonce
Nothing else ever seems to hurt like the smile on your fa,beyonce
"When it's only in my memory, it don't hit me quite the sa",beyonce
"Maybe it's a cause for concern, but I'm not at ease",beyonce
Keeping my head to the curb,beyonce
Pray to catch you whispering,beyonce
I pray you catch me listening,beyonce
"I pray to catch you whispering (Whisper, whisper)",beyonce
"I pray you catch me (Whisper, whisper)",beyonce
I pray you catch me,beyonce
I pray you catch me (Pray you),beyonce
I'm praying you catch me,beyonce
"What are you doing, my love?",beyonce
<|endoftext|>,beyonce
I found the truth beneath your lies,beyonce
And true love never has to hide,beyonce
True love never has to hide,beyonce
I'll trade your broken wings for mine,beyonce
Trade your broken wings for mine,beyonce
"I've seen your scars and kissed your crime, oh",beyonce
Seen your scars and kissed your crime,beyonce
"So many people that I know, they're just tryna touch ya",beyonce
Kiss up and rub up and feel up,beyonce
Kiss up and rub up and feel up on you,beyonce
Give you some time to prove that I can trust you again,beyonce
I'm gonna kiss up and rub up and feel up,beyonce
Kiss up and rub up and feel up on you,beyonce
All night long,beyonce
Love all night long,beyonce
Sweet love all night long,beyonce
Sweet love all night long,beyonce
"All I wanna, ain't no other",beyonce
"We together, I remember",beyonce
Sweet love all night long,beyonce
Our love was stronger than your pride,beyonce
"Beyond your darkness, I'm your light, oh",beyonce
"If you get deep, you touch my mind",beyonce
"If you get deep, you touch my mind",beyonce
"Baptize your tears and dry your eyes, oh",beyonce
Baptize your tears and dry your eyes,beyonce
"So many people, I know that they're just tryna touch ya",beyonce
Kiss up and rub up and feel up,beyonce
Kiss up and rub up and feel up on you,beyonce
Give you some time to prove that I can trust you again,beyonce
I'm gonna kiss up and rub up and feel up,beyonce
Kiss up and rub up and feel up on you,beyonce
All night long,beyonce
Love all night long,beyonce
Sweet love all night long,beyonce
Sweet love all night long,beyonce
"All I wanna, ain't no other",beyonce
"We together, I remember",beyonce
Sweet love all night long,beyonce
They say true love's the greatest weapon,beyonce
"To win the war caused by pain, pain",beyonce
But every diamond has imperfections,beyonce
But my love's too pure to watch it chip away,beyonce
"Boy, nothing real can be threatened",beyonce
True love breathes salvation back into me,beyonce
With every tear came redemption,beyonce
And my torturer became my remedy,beyonce
"So many people, I know that they're just tryna touch ya",beyonce
Kiss up and rub up and feel up,beyonce
Kiss up and rub up and feel up on you,beyonce
Give you some time to prove that I can trust you again,beyonce
I'm gonna kiss up and rub up and feel up,beyonce
Kiss up and rub up and feel up on you,beyonce
All night long,beyonce
Love all night long,beyonce
Sweet love all night long,beyonce
Sweet love all night long,beyonce
"All I wanna, ain't no other",beyonce
"We together, I remember",beyonce
Sweet love all night long,beyonce
"How I missed you, my love",beyonce
<|endoftext|>,beyonce
"""Your challengers are a young group from Houston",beyonce
"Welcome Beyoncé, Lativia, Nina, Nicky, Kelly and Ashley",beyonce
"The hip-hop-rappin' Girls' TYME!""",beyonce
"I'm out that H-Town, comin'— comin' down",beyonce
"I'm comin' down, drippin' candy on the ground",beyonce
"H—H-Town—Town, I'm comin' down",beyonce
"Comin' down, drippin' candy on the ground",beyonce
I know when you were little girls,beyonce
You dreamt of being in my world,beyonce
"Don't forget it, don't forget it",beyonce
"Respect that, bow down, bitches (Crown)",beyonce
I took some time to live my life,beyonce
But don't think I'm just his little wife,beyonce
"Don't get it twisted, get it twisted",beyonce
"This my shit, bow down, bitches",beyonce
"Bow down, bitches— Bow— Bow down, bitches (Crown)",beyonce
"Bow down, bitches— Bow— Bow down, bitches (Crown)",beyonce
"H-Town vicious, H—H-Town vicious",beyonce
"I'm so crown— crown— bow down, bitches!",beyonce
"I'm out that H-Town, comin'— comin' down",beyonce
"I'm comin' down, drippin' candy on the ground",beyonce
"H—H-Town—Town, I'm comin' down",beyonce
"Com—Com—Comin' down, drippin' candy on the ground",beyonce
"We teach girls to shrink themselves, to make themselves s",beyonce
"We say to girls: ""You can have ambition, but not too much",beyonce
"You should aim to be successful, but not too successful",beyonce
"Otherwise, you will threaten the man""",beyonce
"Because I am female, I am expected to aspire to marriage",beyonce
I am expected to make my life choices always keeping in m,beyonce
"Now, marriage can be a source of joy and love and mutual",beyonce
But why do we teach girls to aspire to marriage and we do,beyonce
We raise girls to see each other as competitors,beyonce
"Not for jobs or for accomplishments, which I think can be",beyonce
But for the attention of men,beyonce
We teach girls that they cannot be sexual beings in the w,beyonce
"Feminist: A person who believes in the social, political,",beyonce
You wake up (Flawless),beyonce
Post up (Flawless),beyonce
Riding 'round in it (Flawless),beyonce
Flossin' on that (Flawless),beyonce
This diamond (Flawless),beyonce
My diamond (Flawless),beyonce
This rock (Flawless),beyonce
My Roc (Flawless),beyonce
"I woke up like this, I woke up like this",beyonce
"We flawless—ladies, tell 'em",beyonce
"I woke up like this, I woke up like this",beyonce
"We flawless—ladies, tell 'em",beyonce
"Say, ""I look so good tonight""",beyonce
"Goddamn, Goddamn",beyonce
"Say, ""I look so good tonight""",beyonce
"Goddamn, Goddamn, Goddamn!",beyonce
My mama taught me good home training,beyonce
My daddy taught me how to love my haters,beyonce
My sister told me I should speak my mind,beyonce
"My man make me feel so Goddamn fine, I'm flawless!",beyonce
You wake up (Flawless),beyonce
Post up (Flawless),beyonce
